"","subject_ID","condition","trial_num","treat_location","chosen_side_reli","response_orig","response_reli"
"252","messerli_md1_067","ost",4,"L","L",1,1
"253","messerli_md1_067","ost",5,"L","L",1,1
"254","messerli_md1_067","ost",6,"R","L",0,0
"255","messerli_md1_067","ost",7,"L","L",1,1
"256","messerli_md1_067","ost",8,"R","L",0,0
"257","messerli_md1_067","odour",1,"R","L",0,0
"258","messerli_md1_067","odour",2,"L","R",0,0
"259","messerli_md1_067","odour",3,"L","L",1,1
"260","messerli_md1_067","odour",4,"R","L",0,0
"261","messerli_md1_069","non",1,"L","R",0,0
"262","messerli_md1_069","non",2,"R","R",1,1
"263","messerli_md1_069","non",3,"L","R",0,0
"264","messerli_md1_069","non",4,"R","R",1,1
"265","messerli_md1_069","non",5,"L","R",0,0
"266","messerli_md1_069","non",6,"L","R",0,0
"267","messerli_md1_069","non",7,"R","R",1,1
"268","messerli_md1_069","non",8,"R","R",1,1
"269","messerli_md1_069","ost",1,"R","R",1,1
"270","messerli_md1_069","ost",2,"L","R",0,0
"271","messerli_md1_069","ost",3,"R","R",1,1
"272","messerli_md1_069","ost",4,"L","R",0,0
"273","messerli_md1_069","ost",5,"L","R",0,0
"274","messerli_md1_069","ost",6,"R","R",1,1
"275","messerli_md1_069","ost",7,"L","R",0,0
"276","messerli_md1_069","ost",8,"R","R",1,1
"277","messerli_md1_069","odour",1,"R","R",1,1
"278","messerli_md1_069","odour",2,"L","R",0,0
"279","messerli_md1_069","odour",3,"L","R",0,0
"280","messerli_md1_069","odour",4,"R","R",1,1
"281","messerli_md1_037","ost",1,"L","R",0,0
"282","messerli_md1_037","ost",2,"R","L",0,0
"283","messerli_md1_037","ost",3,"L","R",0,0
"284","messerli_md1_037","ost",4,"R","L",0,0
"285","messerli_md1_037","ost",5,"L","R",0,0
"286","messerli_md1_037","ost",6,"L","L",1,1
"287","messerli_md1_037","ost",7,"R","R",1,1
"288","messerli_md1_037","ost",8,"R","R",1,1
"289","messerli_md1_037","non",1,"R","R",1,1
"290","messerli_md1_037","non",2,"L","L",1,1
"291","messerli_md1_037","non",3,"L","R",0,0
"292","messerli_md1_037","non",4,"R","R",1,1
"293","messerli_md1_037","non",5,"L","R",0,0
"294","messerli_md1_037","non",6,"R","R",1,1
